SampleID	USFWS	Tier	Sex
H1422	1603-51815	2	F
H727	1603-51734	2	F
H2659	1063-42867	2	F
H683	1603-51158	2	F
H2260	1573-66077	2	F
H410	1513-50721	2	F
H602	1603-17246	2	F
H574	1713-13297	2	F
H711	1603-51159	2	F
H506	1603-16629	2	F
H787	1713-49702	2	F
H2720	1603-51558	2	F
H1659	1603-17402	2	F
H3054	1573-97972	2	F
H858	1713-49074	2	F
H1242	1713-49789	2	F
H812	1713-49268	2	F
H1130	1713-49706	2	F
H816	1713-49242	2	F
H1531	1603-51147	2	F
H1186	1713-13672	2	F
H995	1713-49246	2	F
H3284	1573-66067	2	F
H2995	1713-13949	2	F
H983	1713-13667	2	F
H914	1713-49075	2	F
H558	1603-16626	2	M
H1495	1603-17485	2	M
H1172	1713-49758	2	M
H2976	1573-97958	2	M
H1437	1513-50094	2	M
H1620	1573-65071	2	M
H1942	1573-66675	2	M
H99	1603-51753	2	M
H1022	1713-49309	2	M
H15	1713-49305	2	M
H275	1603-16677	2	M
H938	1713-49273	2	M
H1473	1603-51541	2	M
H1958	1713-13368	2	M
H206	1603-16666	2	M
H666	1603-51802	2	M
H2205	1603-17124	2	M
H534	1713-13330	2	M
H585	1063-43034	2	M
H2795	1513-50946	2	M
H3020	1063-43531	2	M
H1265	1713-49034	2	M
H590	1603-17453	2	M
H878	1713-49775	2	M
H890	1713-49705	2	M
