LinkageGroup,SNP,Scaffold,Position,SexAveraged_cM,Female_cM,Male_cM
1,11491,Chr1,447141,0,0,0
1,11489,Chr1,526835,0.181,0.339,0
1,11483,Chr1,622430,0.253,0.483,0
1,11476,Chr1,707655,0.34,0.661,0
1,11477,Chr1,693424,0.34,0.661,0
1,11468,Chr1,793548,0.519,1.011,0
1,11465,Chr1,871314,0.715,1.358,0
1,11464,Chr1,1097074,1.219,2.33,0.082
1,11467,Chr1,1160346,1.219,2.33,0.082
1,11455,Chr1,1384610,1.864,3.019,0.646
1,11446,Chr1,1410939,1.959,3.118,0.732
1,11450,Chr1,1448396,2.033,3.118,0.858
1,11458,Chr1,1561730,2.377,3.554,1.123
1,432,Chr1,1742257,2.754,3.958,1.368
1,435,Chr1,1813669,3.074,4.221,1.888
1,437,Chr1,1843652,3.407,4.221,2.536
1,438,Chr1,1930204,4.081,4.432,3.724
1,440,Chr1,1947878,4.318,4.646,3.937
1,442,Chr1,1968283,4.597,4.718,4.499
1,441,Chr1,1961728,4.733,4.945,4.499
1,446,Chr1,2068508,5.271,4.945,5.546
1,448,Chr1,2134187,5.827,5.133,6.583
1,447,Chr1,2179712,5.986,5.259,6.748
1,451,Chr1,2222655,6.334,5.443,7.231
1,453,Chr1,2297833,6.639,5.784,7.469
1,455,Chr1,2364523,7.309,6.608,8.091
1,456,Chr1,2493908,8.279,6.608,9.934
1,459,Chr1,2677097,9.668,8.431,10.83
1,463,Chr1,2837588,10.814,9.021,12.664
1,467,Chr1,2955955,11.257,9.505,12.97
1,468,Chr1,3094282,11.469,9.69,13.239
1,470,Chr1,3169486,12.018,10.202,13.781
1,469,Chr1,3166296,12.018,10.202,13.781
1,474,Chr1,3281623,12.452,10.497,14.388
1,477,Chr1,3324444,12.66,10.638,14.664
1,478,Chr1,3368172,13.007,11.078,14.93
1,481,Chr1,3460081,13.888,11.779,16.042
1,482,Chr1,3569596,14.307,12.197,16.396
1,485,Chr1,3711677,14.699,12.438,16.91
1,488,Chr1,3770850,15.259,12.959,17.626
1,489,Chr1,3985700,15.941,13.793,18.071
1,491,Chr1,4413427,17.618,15.796,19.438
1,492,Chr1,4505082,18.171,16.326,19.992
1,494,Chr1,4520779,18.451,17.069,19.992
1,495,Chr1,4891027,20.509,19.02,22.052
1,498,Chr1,4943221,20.894,19.02,22.633
1,501,Chr1,5088000,21.691,19.826,23.595
1,502,Chr1,5210708,22.207,20.242,24.175
1,505,Chr1,5329618,22.531,20.751,24.175
1,508,Chr1,5413605,23.054,21.314,24.757
1,509,Chr1,5446064,23.254,21.482,25.035
1,510,Chr1,5512875,23.547,21.882,25.234
1,513,Chr1,5685779,23.992,22.328,25.677
1,514,Chr1,5794684,24.475,22.724,26.228
1,515,Chr1,5911890,24.895,23.578,26.228
1,516,Chr1,6155227,25.806,24.499,26.985
1,518,Chr1,6335836,26.698,24.968,29.049
1,526,Chr1,6859723,27.57,26.077,29.079
1,520,Chr1,6649191,28.144,26.393,29.907
1,525,Chr1,6804883,28.86,26.888,30.815
1,529,Chr1,7500012,30.291,28.409,32.151
1,530,Chr1,7538118,30.502,28.646,32.312
1,532,Chr1,7805083,31.043,29.151,32.923
1,535,Chr1,7911999,31.294,29.572,32.923
1,536,Chr1,7968257,31.585,29.931,33.184
1,544,Chr1,8111530,31.932,30.208,33.603
1,545,Chr1,8128530,31.932,30.208,33.603
1,547,Chr1,8276601,32.284,30.631,33.84
1,548,Chr1,8364103,32.735,31.577,33.964
1,549,Chr1,8475069,32.91,31.577,34.143
1,550,Chr1,8508192,33.198,31.792,34.404
1,551,Chr1,8508685,33.198,31.792,34.404
1,557,Chr1,8678697,33.445,32.808,34.575
1,554,Chr1,8659839,34.739,32.818,36.433
1,558,Chr1,9676970,37.081,34.641,38.997
1,559,Chr1,9842999,37.38,35.839,38.997
1,560,Chr1,11031064,38.574,37.955,39.297
1,562,Chr1,12087862,39.726,39.654,39.719
1,569,Chr1,13959604,40.881,41.14,40.618
1,568,Chr1,13815426,41.046,41.552,40.618
1,570,Chr1,14595672,41.557,41.811,41.299
1,573,Chr1,14869892,42.469,42.599,42.31
1,575,Chr1,15390292,42.687,42.599,42.773
1,576,Chr1,15907818,43.017,43.047,43.073
1,579,Chr1,16325867,43.306,43.047,43.537
1,584,Chr1,17244619,43.71,43.716,43.711
1,585,Chr1,17455911,43.93,43.991,43.868
1,581,Chr1,16941017,44.296,44.266,44.345
1,586,Chr1,17662929,44.718,44.598,44.833
1,590,Chr1,18184873,44.944,44.849,45.069
1,591,Chr1,18268617,45.057,44.849,45.222
1,592,Chr1,18602991,45.355,45.293,45.395
1,600,Chr1,19917653,46.221,46.312,46.128
1,598,Chr1,19727193,46.221,46.312,46.128
1,601,Chr1,20291307,46.469,46.312,46.648
1,602,Chr1,20498666,46.673,46.595,46.819
1,606,Chr1,22647940,47.786,47.555,48.128
1,607,Chr1,23359483,48.239,48.404,48.128
1,605,Chr1,22487805,48.736,48.81,48.677
1,610,Chr1,24943133,49.814,49.64,49.947
1,615,Chr1,25963207,50.537,50.568,50.473
1,617,Chr1,26514412,50.98,51.11,50.821
1,621,Chr1,26989778,51.35,51.11,51.575
1,622,Chr1,27397440,51.482,51.347,51.575
1,630,Chr1,28373971,52.18,51.959,52.446
1,631,Chr1,28678158,52.424,51.959,52.876
1,638,Chr1,29802676,52.782,52.28,53.278
1,633,Chr1,28874227,52.906,52.28,53.472
1,636,Chr1,28999734,53.027,52.564,53.558
1,639,Chr1,30420416,53.515,52.897,54.133
1,647,Chr1,31668838,54.397,53.602,55.225
1,651,Chr1,32613701,54.48,53.602,55.353
1,652,Chr1,32845027,54.565,53.602,55.546
1,655,Chr1,34417656,55.372,54.227,56.517
1,663,Chr1,35351772,55.554,54.412,56.702
1,665,Chr1,35758267,55.7,54.567,56.851
1,659,Chr1,35020161,55.897,54.784,57.02
1,656,Chr1,34454966,55.983,54.784,57.19
1,667,Chr1,36222918,56.499,55.378,57.562
1,670,Chr1,38322566,57.165,56.449,57.92
1,671,Chr1,38519379,57.476,56.898,58.09
1,673,Chr1,39559667,57.687,56.898,58.458
1,684,Chr1,40294685,58.676,57.538,59.814
1,702,Chr1,41322059,59.287,57.706,61.072
1,704,Chr1,41880003,59.582,58.005,61.099
1,706,Chr1,42349594,59.982,58.269,61.714
1,707,Chr1,42555866,60.121,58.269,61.975
1,711,Chr1,44043155,60.644,59.071,62.271
1,718,Chr1,44850594,60.803,59.277,62.362
1,726,Chr1,46105323,61.067,59.681,62.48
1,728,Chr1,46318836,61.274,60.014,62.48
1,841,Chr1,48311501,61.774,60.883,62.84
1,842,Chr1,47857368,61.774,60.883,62.84
1,840,Chr1,48812999,62.002,60.883,63.146
1,843,Chr1,47682682,62.258,61.157,63.357
1,839,Chr1,49490084,63.008,61.986,64.048
1,836,Chr1,50697186,63.474,62.593,64.369
1,838,Chr1,50296561,63.562,62.593,64.498
1,833,Chr1,51840622,64.385,63.55,65.143
1,831,Chr1,52416199,64.838,64.377,65.468
1,829,Chr1,53218244,65.072,64.377,65.7
1,827,Chr1,54004388,65.654,65.181,66.164
1,825,Chr1,54472768,66.039,65.916,66.164
1,822,Chr1,55538363,67.091,67.038,67.285
1,819,Chr1,56356740,67.855,67.258,68.186
1,817,Chr1,59643910,68.693,68.753,68.528
1,816,Chr1,60220613,69.152,69.647,68.693
1,811,Chr1,63071405,70.126,70.993,69.215
1,800,Chr1,63744137,70.618,71.595,69.659
1,807,Chr1,63525075,70.743,71.819,69.659
1,796,Chr1,64638428,71.148,72.163,70.154
1,797,Chr1,64409181,71.24,72.163,70.327
1,795,Chr1,65332879,71.774,72.575,70.958
1,794,Chr1,65354426,71.832,72.733,70.958
1,788,Chr1,65709855,72.074,73.008,71.175
1,786,Chr1,65988524,72.37,73.352,71.37
1,783,Chr1,66343786,72.596,73.704,71.513
1,781,Chr1,66762247,72.831,73.704,71.997
1,776,Chr1,67179673,73.092,73.954,72.26
1,778,Chr1,67146611,73.394,74.138,72.652
1,779,Chr1,66986215,73.563,74.236,72.904
1,772,Chr1,67808231,74.345,74.865,73.773
1,771,Chr1,67815261,74.345,74.865,73.773
1,768,Chr1,68894364,75.12,75.95,74.333
1,766,Chr1,70473995,76.471,77.37,75.568
1,762,Chr1,70623095,76.686,77.584,75.78
1,760,Chr1,71291048,77.009,77.794,76.245
1,758,Chr1,71471693,77.009,77.794,76.245
1,755,Chr1,71708120,77.338,78.117,76.564
1,753,Chr1,71985977,77.532,78.304,76.76
1,750,Chr1,72334978,78.066,78.727,77.464
1,746,Chr1,72763547,78.423,79.053,77.811
1,744,Chr1,72891260,78.56,79.161,77.985
1,743,Chr1,73327163,78.774,79.323,78.28
1,742,Chr1,75144938,79.297,79.78,78.903
1,738,Chr1,75959688,79.838,80.319,79.434
1,737,Chr1,76047222,79.933,80.496,79.434
1,729,Chr1,76888174,80.717,81.367,80.137
1,725,Chr1,77205233,81.416,81.855,81.018
1,722,Chr1,77963704,82.131,81.877,81.707
1,717,Chr1,78434905,82.528,83.235,81.843
1,716,Chr1,78527147,82.642,83.338,81.943
1,715,Chr1,78783577,83.044,83.867,82.247
1,712,Chr1,79130998,83.25,83.867,82.49
1,694,Chr1,82355851,85.407,87.145,83.589
1,693,Chr1,82402366,85.602,87.365,83.898
1,692,Chr1,82760699,85.836,87.708,83.898
1,678,Chr1,83041607,86.252,87.991,84.68
1,847,Chr1,84813309,86.622,88.545,84.68
1,850,Chr1,85830941,87.739,89.952,85.649
1,852,Chr1,86062267,88.288,90.816,85.742
1,855,Chr1,87086147,89.746,92.61,86.852
1,857,Chr1,87165148,89.89,92.779,86.982
1,863,Chr1,88040691,90.603,93.429,87.811
1,861,Chr1,87754790,90.76,93.594,87.961
1,864,Chr1,88583477,91.439,94.204,88.579
1,866,Chr1,89716261,92.196,95.384,88.931
1,869,Chr1,90135173,92.35,95.828,88.931
1,871,Chr1,90485781,92.747,96.227,89.285
1,874,Chr1,90627037,93.124,96.557,89.713
1,881,Chr1,91232709,93.887,97.3,90.507
1,887,Chr1,91573538,94.458,97.6,91.237
1,889,Chr1,91684861,94.617,97.911,91.359
1,891,Chr1,91801549,94.81,98.122,91.487
1,896,Chr1,92052736,95.137,98.42,91.933
1,899,Chr1,92207377,95.488,98.814,92.099
1,908,Chr1,92961169,96.87,100.162,93.577
1,910,Chr1,93351376,98.394,102.065,94.7
1,915,Chr1,93590662,98.789,102.366,95.167
1,916,Chr1,93624674,98.96,102.447,95.457
1,918,Chr1,93674579,99.099,102.447,95.749
1,922,Chr1,93939076,99.912,103.438,96.258
1,923,Chr1,93994278,100.338,103.952,96.721
1,999,Chr1,94609089,101.242,104.033,98.352
1,997,Chr1,95117830,102.086,104.818,99.481
1,994,Chr1,95627381,103.249,106.116,100.39
1,991,Chr1,95887978,103.776,106.552,100.981
1,989,Chr1,96056291,103.986,106.737,101.269
1,987,Chr1,96633068,105.386,107.202,103.548
1,984,Chr1,96644739,106.149,107.944,104.509
1,981,Chr1,96967545,106.944,108.015,105.845
1,978,Chr1,97516187,108.184,108.479,107.841
1,976,Chr1,97616490,108.439,108.968,107.93
1,973,Chr1,97828422,108.752,109.69,108.062
1,968,Chr1,98211081,109.375,110.087,108.809
1,970,Chr1,97995143,109.662,110.18,109.305
1,971,Chr1,97899588,109.806,110.18,109.565
1,961,Chr1,98665706,111.045,111.185,111.025
1,960,Chr1,98727902,111.045,111.185,111.025
1,957,Chr1,98880074,111.23,111.397,111.025
1,951,Chr1,99081523,111.534,111.691,111.413
1,950,Chr1,99147009,111.924,111.816,112.177
1,948,Chr1,99566469,112.609,111.975,113.306
1,947,Chr1,99664250,112.79,112.007,113.668
1,946,Chr1,99761907,112.983,112.053,114.056
1,941,Chr1,99963584,113.427,112.237,114.832
1,940,Chr1,100218157,113.565,112.42,114.832
1,939,Chr1,100256072,113.648,112.42,115
1,937,Chr1,100894179,114.342,112.594,116.272
1,931,Chr1,101458759,114.766,112.731,116.986
1,929,Chr1,101693645,115.008,112.928,117.351
1,928,Chr1,101771837,115.169,112.928,117.631
1,913,Chr1,102795721,116.17,113.287,119.325
1,903,Chr1,103642046,116.405,113.412,119.641
1,1148,Chr1,105295039,116.787,113.537,120.325
1,1141,Chr1,105530435,116.843,113.537,120.434
1,1125,Chr1,108061195,117.099,113.66,120.854
1,1128,Chr1,107537177,117.194,113.777,120.854
1,1124,Chr1,108202501,117.298,113.777,121.042
1,1122,Chr1,108367437,117.492,114.044,121.198
1,1121,Chr1,108579995,117.745,114.385,121.309
1,1119,Chr1,108903037,118.125,114.594,122.105
1,1118,Chr1,109470882,118.983,115.562,122.61
1,1116,Chr1,110101333,119.565,116.172,123.156
1,1115,Chr1,110317289,119.752,116.172,123.406
1,1113,Chr1,110992592,120.605,116.942,124.487
1,1112,Chr1,111132558,120.855,117.234,124.667
1,1111,Chr1,111474616,121.444,117.641,125.442
1,1109,Chr1,111556562,121.622,117.641,125.72
1,1107,Chr1,111918123,122.239,118.45,126.13
1,1105,Chr1,112363696,123.042,119.42,126.901
1,1103,Chr1,113078690,124.316,121.601,127.025
1,1102,Chr1,113479600,125.247,122.857,127.991
1,1101,Chr1,113586764,125.483,122.857,128.178
1,1097,Chr1,114159295,126.62,124.845,128.626
1,1096,Chr1,114433966,127.277,125.768,129.028
1,1094,Chr1,114858238,128.048,126.875,129.436
1,1086,Chr1,115228953,128.653,127.708,129.81
1,1085,Chr1,115243070,128.653,127.708,129.81
1,1081,Chr1,115415858,129.075,127.708,130.305
1,1079,Chr1,115936496,129.523,129.001,130.305
1,1074,Chr1,116324552,130.211,129.783,130.803
1,1071,Chr1,116635721,130.866,130.82,131.121
1,1070,Chr1,116966870,131.425,131.524,131.505
1,1069,Chr1,117304153,131.787,131.891,131.855
1,1064,Chr1,118163411,133.117,133.237,133.272
1,1066,Chr1,117985866,133.225,133.378,133.272
1,1062,Chr1,118390146,133.547,133.905,133.607
1,1060,Chr1,118710487,134.154,134.155,134.291
1,1058,Chr1,118803333,134.528,135.104,134.291
1,1054,Chr1,118882440,134.727,135.104,134.517
1,1053,Chr1,119036140,135.449,135.627,135.462
1,1048,Chr1,119080452,135.449,135.627,135.462
1,1040,Chr1,119200143,135.968,136.171,135.876
1,1036,Chr1,119260751,136.153,136.171,136.344
1,1029,Chr1,119441152,136.5,136.856,136.509
1,1001,Chr1,119491228,136.7,136.856,136.728
1,1010,Chr1,119734808,137.152,137.143,137.266
1,1015,Chr1,119858196,137.322,137.328,137.393
1,1016,Chr1,119955659,137.645,138.003,137.553
2,1212,Chr2,1427472,0,0,0
2,1171,Chr2,567126,3.929,4.56,3.214
2,1170,Chr2,562582,3.929,4.56,3.214
2,1160,Chr2,359066,4.32,5.296,3.288
2,1176,Chr2,687602,4.32,5.296,3.288
2,1165,Chr2,503715,4.49,5.629,3.288
2,1181,Chr2,811811,4.954,6.496,3.375
2,1180,Chr2,788054,4.954,6.496,3.375
2,1182,Chr2,852008,5.211,6.915,3.458
2,1186,Chr2,876380,5.274,7.053,3.458
2,1192,Chr2,945292,5.433,7.341,3.541
2,1189,Chr2,900921,5.433,7.341,3.541
2,1193,Chr2,988728,5.843,8.097,3.541
2,1194,Chr2,1008657,6.123,8.685,3.541
2,1197,Chr2,1075568,6.254,8.949,3.541
2,1200,Chr2,1103420,6.381,9.192,3.541
2,1205,Chr2,1167713,6.502,9.459,3.541
2,1209,Chr2,1408758,6.778,9.903,3.541
2,1215,Chr2,1675532,6.842,10.089,3.541
2,1220,Chr2,1979174,6.894,10.189,3.61
2,1225,Chr2,2142259,7.402,10.451,4.315
2,1228,Chr2,2225516,7.618,10.451,4.865
2,1230,Chr2,2245152,7.792,10.61,4.865
2,1232,Chr2,2282232,8.095,10.61,5.534
